state,x,y
Andhra Pradesh,-100.0, -123.0
Arunachal Pradesh,150.0, 120.0
Assam,140.0, 80.0
Bihar,45.0, 65.0
Chhattisgarh,-15.0, 0.0
Goa,-160.0, -105.0
Gujarat,-165.0, 20.0
Haryana,-125.0, 120.0
Himachal Pradesh,-105.0, 170.0
Jharkhand,30.0, 30.0
Karnataka,-155.0, -125.0
Kerala,-130.0, -200.0
Madhya Pradesh,-115.0, 20.0
Maharashtra,-155.0, -40.0
Manipur,165.0, 60.0
Meghalaya,100.0, 65.0
Mizoram,155.0, 30.0
Nagaland,180.0, 75.0
Odisha,15.0, -25.0
Punjab,-135.0, 150.0
Rajasthan,-155.0, 70.0
Sikkim,70.0, 100.0
Tamil Nadu,-85.0, -200.0
Telangana,-85.0, -75.0
Tripura,120.0, 30.0
Uttar Pradesh,-50.0, 80.0
Uttarakhand,-50.0, 140.0
West Bengal,50.0, 15.0